domain,category
youtube.com,unclassifiable
uberuutiset.fi,news-like site
iltalehti.fi,national media
yle.fi,national media
rahmispossu.net,news-like site
iltasanomat.fi,national media
dailymail.co.uk,international media
hs.fi,national media
mtv.fi,national media
fi.wikipedia.org,unclassifiable
patriootti.com,finnish social movement
verkkouutiset.fi,political party media
uusisuomi.fi,national media
poliisi.fi,finnish governmental organisation
suomenuutiset.fi,political party media
magneettimedia.com,news-like site
mvlehti.net,news-like site
barcelonawired.com,company
helsinginuutiset.fi,local media
hommaforum.org,user-generated content
kansalaisaloite.fi,unclassifiable
vanhemmat.com,finnish ngo
kaleva.fi,national media
aftonbladet.se,international media
friatider.se,news-like site
liveleak.com,unclassifiable
aamulehti.fi,national media
telegraph.co.uk,international media
bbc.com,international media
en.wikipedia.org,unclassifiable
ts.fi,national media
theguardian.com,international media
ksml.fi,national media
talouselama.fi,national media
anarkisti.vuodatus.net,person
g01.a.alicdn.com,unclassifiable
express.co.uk,international media
finlex.fi,finnish governmental organisation
migri.fi,finnish governmental organisation
expressen.se,international media
areena.yle.fi,national media
independent.co.uk,international media
svt.se,international media
ess.fi,local media
taloussanomat.fi,national media
aamulehdenblogit.ning.com,unclassifiable
verkkomedia.org,news-like site
rvgroup.fi,company
valtioneuvosto.fi,finnish governmental organisation
is.fi,national media
google.com,company
afp.com,international media
thesun.co.uk,international media
m.iltalehti.fi,national media
rt.com,international media
breitbart.com,news-like site
kauppalehti.fi,national media
lansivayla.fi,local media
maaseuduntulevaisuus.fi,national media
apnews.com,international media
intermin.fi,finnish governmental organisation
bild.de,international media
stara.fi,national media
fifi.voima.fi,national media
is11.snfi,unclassifiable
mikasvirtanen.puheenvuoro.uusisuomi.fi,person
keskustelu.suomi24.fi,user-generated content
hankalapotilas.net,person
ncbi.nlm.nih.gov,international governmental organization
epilepsia.fi,finnish ngo
projectcbd.org,international social movement
channel.nationalgeographic.com,international media
endoca.com,company
rethink911.org,international organization
web.archive.org,unclassifiable
ae911truth.org,international organization
rememberbuilding7.org,international social movement
businessinsider.com,international media
images.catholic.org,international organization
africansafrise.files.wordpress.com,person
ted.com,unclassifiable
kansanuutiset.fi,political party media
morssglobalfinance.com,person
ak.picdn.net,unclassifiable
rautatiematkustajat.fi,finnish ngo
portal.liikennevirasto.fi,finnish governmental organisation
icij.org,international organization
taz.de,international media
vapaakulkija.wordpress.com,person
finanzen.net,international media
de.wikipedia.org,unclassifiable
stop-esm.org,international social movement
formula1.com,company
sport.fi,national media
takku.net,finnish social movement
webcaster.goodmood.fi,unclassifiable
instagram.com,unclassifiable
blogit.iltalehti.fi,unclassifiable
hel.fi,finnish governmental organisation
marinetraffic.com,unclassifiable
vero.fi,finnish governmental organisation
suomenkuvalehti.fi,national media
ilmatieteenlaitos.fi,finnish governmental organisation
jyrkikatainenvalhe.blogspot.fi,finnish social movement
kauppakv.fi,company
intokustannus.fi,company
jukkahankamaki.blogspot.fi,person
dailymotion.com,unclassifiable
kela.fi,finnish governmental organisation
trafi.fi,finnish governmental organisation
motiva.fi,company
veronmaksajat.fi,finnish ngo
kho.fi,finnish governmental organisation
tukes.fi,finnish governmental organisation
creativecommons.org,international organization
commons.wikimedia.org,unclassifiable
pixabay.com,unclassifiable
flickr.com,unclassifiable
nytimes.com,international media
reuters.com,international media
washingtonpost.com,international media
euobserver.com,international media
edition.cnn.com,international media
google.fi,company
wikileaks.org,international social movement
huffingtonpost.com,international media
eduskunta.fi,finnish governmental organisation
theintercept.com,international media
riikkasoyring.puheenvuoro.uusisuomi.fi,person
forbes.com,international media
aljazeera.com,international media
globalresearch.ca,international organization
rayhablogi.blogspot.fi,person
telesurtv.net,international media
ec.europa.eu,multilevel governmental organization
un.org,multilevel governmental organization
theantimedia.org,unclassifiable
ristovolanen.fi,person
bloomberg.com,international media
spiegel.de,international media
maxpixel.freegreatpicture.com,unclassifiable
kormany.hu,international governmental organization
welt.de,international media
politico.eu,international media
krone.at,international media
thelocal.dk,international media
ansamed.info,international media
dailynewshungary.com,international media
thelocal.fr,international media
thelocal.se,international media
oe24.at,international media
thelocal.de,international media
data2.unhcr.org,multilevel governmental organization
visegradpost.com,news-like site
dutchnews.nl,international media
beta.oikeamedia.com,news-like site
deutsche-wirtschafts-nachrichten.de,international media
france24.com,international media
thelocal.at,international media
ansa.it,international media
dw.com,international media
europarl.europa.eu,multilevel governmental organization
sverigesradio.se,international media
savonsanomat.fi,local media
paavotajukangas.com,person
zerohedge.com,international media
theleafonline.com,international social movement
rio2016.com,international organization
results.fi,international organization
vetomiehet.fi,company
wrc.com,company
delivery.premium57.com,unclassifiable
tageblatt.lu,international media
facebook.com,unclassifiable
twitter.com,unclassifiable
sueddeutsche.de,international media
jungefreiheit.de,international media
karjalainen.fi,local media
stm.fi,finnish governmental organisation
vm.fi,finnish governmental organisation
tem.fi,finnish governmental organisation
ym.fi,finnish governmental organisation
lvm.fi,finnish governmental organisation
moranen.blogspot.com,person
gutenberg.org,international social movement
polamk.fi,finnish governmental organisation
haaretz.com,international media
jewishtribalreview.org,unclassifiable
globalfire.tv,news-like site
judaism.about.com,user-generated content
t.co,unclassifiable
